p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.77060110784e-10	8.67594542844e-09	GO:0044428	c	3	nuclear part	54890; 1786; 2874; 3837; 4798; 4800; 5049; 5707; 5710; 6632; 6665; 6728; 6732; 6837; 7266; 7374; 9025; 9092; 9442; 9584; 9688; 9790; 9810; 9879; 10017; 10199; 10293; 10459; 24144; 79594; 84128; 84916; 23076; 54853; 54971; 55127; 55161; 23172; 57062; 57459; 26017; 27443; 64426; 65123	MAD2L2; RRP1B; PSMD4; MED22; PSMD1; MED27; TFIP11; NFYA; GPS2; BMS1; BCL2L10; NFRKB; FAM175B; DNMT1; SOX15; TMEM33; SRP19; RBM39; INTS3; CECR2; BANP; HEATR1; KPNB1; NUP93; RNF40; UNG; MPHOSPH10; SART1; SUDS3; SRPK1; PAFAH1B2; WDR55; MUL1; CIRH1A; SNRPD1; DDX24; DNAJC7; TRAIP; DDX46; RNF8; GATAD2B; FAM32A; ALKBH5; WDR75	3797	3785
2.03286531252e-09	2.84601143753e-08	GO:0044822	m	5	poly(A) RNA binding	54890; 3837; 5442; 5710; 6632; 6728; 6732; 7165; 9092; 9584; 9698; 9790; 9810; 9879; 10199; 84128; 84916; 55127; 55623; 23076; 57062; 26017; 29080	RRP1B; PSMD4; PUM1; THUMPD1; BMS1; SRP19; RBM39; HEATR1; CCDC59; KPNB1; RNF40; TPD52L2; MPHOSPH10; SART1; SRPK1; SNRPD1; CIRH1A; DDX24; DDX46; POLRMT; FAM32A; ALKBH5; WDR75	1181	1177
2.13071805626e-09	1.00143748644e-07	GO:0031981	c	4	nuclear lumen	54890; 1786; 2874; 3837; 4798; 4800; 5049; 5707; 5710; 6632; 6728; 6732; 6837; 7266; 7374; 9025; 9092; 9442; 9584; 9688; 9790; 9810; 9879; 10199; 10293; 10459; 84128; 79594; 84916; 24144; 54853; 54971; 55127; 23076; 57062; 57459; 26017; 27443; 64426; 65123	MAD2L2; RRP1B; PSMD4; MED22; PSMD1; MED27; TFIP11; NFYA; GPS2; BMS1; NFRKB; DNMT1; SRP19; RBM39; INTS3; CECR2; BANP; HEATR1; KPNB1; NUP93; RNF40; UNG; MPHOSPH10; SART1; SUDS3; SRPK1; PAFAH1B2; WDR55; MUL1; CIRH1A; SNRPD1; DDX24; DNAJC7; TRAIP; DDX46; RNF8; GATAD2B; FAM32A; ALKBH5; WDR75	3444	3432
2.72983940225e-09	9.00847002743e-08	GO:0044446	c	2	intracellular organelle part	54890; 1786; 2874; 3837; 4798; 4800; 5049; 5442; 5707; 5710; 6632; 6665; 6728; 6732; 6837; 7266; 7374; 7780; 8408; 8985; 9025; 9092; 9442; 9584; 140707; 9688; 9790; 9810; 9879; 10017; 10199; 10293; 10381; 10459; 10628; 79065; 24144; 79594; 84128; 51499; 84916; 84942; 23076; 283464; 54853; 54971; 55127; 55161; 55186; 55626; 55825; 23172; 56616; 84572; 57062; 57410; 57459; 26017; 124997; 27443; 10061; 64426; 65123	MAD2L2; ABCF2; PECR; BRI3BP; GNPTG; RRP1B; PSMD4; MED22; PSMD1; MED27; TFIP11; NFYA; SLC25A36; DIABLO; TXNIP; TMEM33; SUDS3; SLC30A2; GPS2; BMS1; BCL2L10; PLOD3; FAM175B; DNMT1; SOX15; TRIAP1; ATG9A; SRP19; RBM39; INTS3; CECR2; ULK1; BANP; HEATR1; AMBRA1; KPNB1; NUP93; TUBB3; RNF40; GATAD2B; GXYLT1; UNG; NFRKB; MPHOSPH10; SART1; SCYL1; SRPK1; FAM32A; PAFAH1B2; WDR55; MUL1; CIRH1A; SNRPD1; DDX24; DNAJC7; TRAIP; DDX46; RNF8; POLRMT; WDR73; ALKBH5; WDR75; WDR81	7807	7783
2.7898428637e-08	6.97460715925e-07	GO:0003723	m	4	RNA binding	54890; 1786; 3837; 5442; 5710; 6632; 6728; 6732; 7165; 9092; 9337; 9584; 9698; 9790; 9810; 9879; 10199; 84128; 84916; 55127; 23076; 57062; 26017; 29080; 55623	RRP1B; PSMD4; PUM1; THUMPD1; BMS1; DNMT1; CNOT8; SRP19; RBM39; HEATR1; CCDC59; KPNB1; RNF40; TPD52L2; MPHOSPH10; SART1; SRPK1; CIRH1A; SNRPD1; DDX24; DDX46; POLRMT; FAM32A; ALKBH5; WDR75	1597	1590
9.37683710801e-08	2.29732509146e-06	GO:0070013	c	3	intracellular organelle lumen	54890; 1786; 2874; 3837; 4798; 4800; 5049; 5442; 5707; 5710; 6632; 6728; 6732; 6837; 7266; 7374; 9025; 9092; 9442; 9584; 9688; 9790; 9810; 9879; 10199; 10293; 10459; 24144; 79594; 84128; 84916; 23076; 54853; 54971; 55127; 57062; 57459; 26017; 27443; 64426; 65123	MAD2L2; RRP1B; PSMD4; MED22; PSMD1; MED27; TFIP11; NFYA; GPS2; BMS1; NFRKB; DNMT1; SRP19; RBM39; INTS3; CECR2; BANP; HEATR1; KPNB1; NUP93; RNF40; GATAD2B; UNG; MPHOSPH10; SART1; SUDS3; SRPK1; PAFAH1B2; WDR55; MUL1; CIRH1A; SNRPD1; DDX24; DNAJC7; TRAIP; DDX46; RNF8; POLRMT; FAM32A; ALKBH5; WDR75	4084	4071
1.39450319421e-07	2.30093027044e-06	GO:0043233	c	2	organelle lumen	54890; 1786; 2874; 3837; 4798; 4800; 5049; 5442; 5707; 5710; 6632; 6728; 6732; 6837; 7266; 7374; 9025; 9092; 9442; 9584; 9688; 9790; 9810; 9879; 10199; 10293; 10459; 24144; 79594; 84128; 84916; 23076; 54853; 54971; 55127; 57062; 57459; 26017; 27443; 64426; 65123	MAD2L2; RRP1B; PSMD4; MED22; PSMD1; MED27; TFIP11; NFYA; GPS2; BMS1; NFRKB; DNMT1; SRP19; RBM39; INTS3; CECR2; BANP; HEATR1; KPNB1; NUP93; RNF40; GATAD2B; UNG; MPHOSPH10; SART1; SUDS3; SRPK1; PAFAH1B2; WDR55; MUL1; CIRH1A; SNRPD1; DDX24; DNAJC7; TRAIP; DDX46; RNF8; POLRMT; FAM32A; ALKBH5; WDR75	4140	4127
4.35893283764e-07	1.02434921684e-05	GO:0005634	c	4	nucleus	54890; 1786; 2874; 3837; 4798; 4800; 5049; 5597; 5707; 5710; 6632; 6665; 6728; 6732; 6837; 7266; 7374; 9025; 9092; 9337; 9442; 9584; 9688; 9790; 9802; 9810; 9879; 10017; 10199; 10293; 10381; 10459; 10628; 84128; 79594; 79816; 84916; 24144; 54853; 54971; 55127; 55161; 55905; 23172; 23076; 57062; 57410; 57459; 26017; 125061; 27443; 29080; 64426; 65123	MAD2L2; RRP1B; PSMD4; MED22; PSMD1; TLE6; MED27; TFIP11; NFYA; TXNIP; SUDS3; GPS2; BMS1; BCL2L10; NFRKB; FAM175B; DNMT1; AFMID; SOX15; TMEM33; RNF114; CNOT8; MAPK6; WDR55; SRP19; RBM39; INTS3; CECR2; BANP; HEATR1; CCDC59; KPNB1; NUP93; TUBB3; RNF40; UNG; MPHOSPH10; SART1; SCYL1; SRPK1; PAFAH1B2; DAZAP2; MUL1; CIRH1A; SNRPD1; DDX24; DNAJC7; TRAIP; DDX46; RNF8; GATAD2B; FAM32A; ALKBH5; WDR75	6774	6747
3.92780852274e-06	4.32058937501e-05	GO:0044424	c	2	intracellular part	483; 54890; 1786; 1802; 2874; 3837; 4798; 4800; 5049; 5442; 5597; 5707; 5710; 6538; 6632; 6654; 6665; 6728; 6732; 6801; 6837; 7165; 7266; 7374; 7780; 8408; 8985; 9025; 9092; 9337; 9442; 9453; 9584; 140707; 9675; 9688; 9698; 9790; 9802; 9810; 9879; 10017; 10199; 10293; 10381; 10459; 10628; 79065; 24144; 79594; 79816; 84128; 51499; 84916; 84942; 23076; 283464; 54853; 54971; 55127; 55161; 55186; 55626; 55825; 55905; 23172; 56616; 84572; 57062; 57410; 57459; 26017; 124997; 125061; 27443; 10061; 29080; 64426; 65123	MAD2L2; ABCF2; PECR; BRI3BP; GNPTG; RRP1B; PSMD4; MED22; PSMD1; TLE6; MED27; TFIP11; NFYA; PUM1; DIABLO; GGPS1; TXNIP; TMEM33; SUDS3; SLC30A2; GPS2; BMS1; BCL2L10; NFRKB; FAM175B; DNMT1; AFMID; SOX15; TRIAP1; RNF114; CNOT8; MAPK6; WDR55; ATG9A; SLC6A11; RBM39; FAM32A; INTS3; DAZAP2; CECR2; ULK1; BANP; HEATR1; CCDC59; AMBRA1; KPNB1; NUP93; ATP1B3; RNF40; GATAD2B; TPD52L2; GXYLT1; UNG; MPHOSPH10; SART1; SCYL1; SRPK1; SRP19; PAFAH1B2; CIRH1A; DPH2; MUL1; SNRPD1; SOS1; DDX24; DNAJC7; TRAIP; DDX46; TUBB3; SLC25A36; STRN; RNF8; PLOD3; POLRMT; WDR73; ALKBH5; WDR75; TTI1; WDR81	13448	13402
3.95612373878e-06	6.46166877334e-05	GO:0043231	c	3	intracellular membrane-bounded organelle	483; 54890; 1786; 2874; 3837; 4798; 4800; 5049; 5442; 5597; 5707; 5710; 6632; 6665; 6728; 6732; 6837; 7266; 7374; 7780; 8408; 8985; 9025; 9092; 9337; 9442; 9584; 140707; 9688; 9790; 9802; 9810; 9879; 10017; 10199; 10293; 10381; 10459; 10628; 79065; 24144; 79594; 79816; 84128; 51499; 84916; 23076; 283464; 54853; 54971; 55127; 55161; 55186; 55626; 55825; 55905; 23172; 56616; 84572; 57062; 57410; 57459; 26017; 125061; 27443; 10061; 29080; 64426; 65123	MAD2L2; ABCF2; PECR; BRI3BP; GNPTG; RRP1B; PSMD4; MED22; PSMD1; TLE6; MED27; TFIP11; NFYA; SLC25A36; DIABLO; TXNIP; TMEM33; SUDS3; SLC30A2; GPS2; BMS1; BCL2L10; PLOD3; FAM175B; DNMT1; AFMID; SOX15; TRIAP1; RNF114; CNOT8; MAPK6; WDR55; ATG9A; SRP19; RBM39; INTS3; CECR2; ULK1; BANP; HEATR1; CCDC59; AMBRA1; KPNB1; NUP93; ATP1B3; RNF40; GATAD2B; GXYLT1; UNG; NFRKB; MPHOSPH10; SART1; SCYL1; SRPK1; PAFAH1B2; DAZAP2; MUL1; CIRH1A; SNRPD1; DDX24; DNAJC7; TRAIP; DDX46; TUBB3; RNF8; POLRMT; FAM32A; ALKBH5; WDR75	10643	10607
