p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
6.3581050635e-08	2.5432420254e-06	GO:0005739	c	4	mitochondrion	35; 65993; 581; 2647; 4716; 4717; 6697; 7384; 9512; 10063; 10587; 2055; 51295; 84545; 53917; 283377; 55173; 55178; 55967; 26519; 28976; 29928; 29960; 30833; 65080	ACADS; BAX; SPRYD4; MRPS10; PMPCB; BLOC1S1; MRPS34; SPR; FTSJ2; NDUFB10; TIMM10; TXNRD2; CLN8; RNMTL1; NDUFC1; NDUFA12; ECSIT; NT5C; RAB24; ACAD9; MRPL43; MRPL44; UQCRC1; TIMM22; COX17	1660	1658
1.23039954855e-07	4.67551828451e-06	GO:0044444	c	3	cytoplasmic part	35; 65993; 581; 635; 873; 1522; 5719; 2584; 2647; 3790; 4716; 4717; 5373; 5720; 5833; 5876; 6697; 7384; 7841; 8565; 8666; 9145; 9512; 9896; 10063; 7171; 10587; 10682; 10897; 11316; 2055; 51295; 79735; 79876; 342898; 84545; 29968; 83549; 79887; 53917; 283377; 55142; 55173; 55178; 22796; 55967; 23760; 57171; 25804; 25873; 26229; 26519; 28976; 29100; 29780; 29928; 29960; 30833; 64840; 65080	ACADS; HAUS2; MRPL44; BAX; DOLPP1; B3GAT3; SPRYD4; PSAT1; MRPS10; PMM2; EIF3G; PITPNB; MRPL43; SYCN; BHMT; BLOC1S1; MRPS34; SPR; TPM4; CBR1; NDUFB10; LSM4; FIG4; YARS; NDUFA12; KCNS3; TMEM208; TXNRD2; CLN8; RNMTL1; NDUFC1; TIMM10; PLBD1; COPE; UCK1; COG2; PCYT2; FTSJ2; PSME1; PARVB; CTSZ; UBA5; ECSIT; YIF1A; PMPCB; PORCN; RAB24; GALK1; SYNGR1; ACAD9; MOGS; PSMD13; TIMM22; RABGGTB; RPL36; EBP; NT5C; COX17; TBC1D17; UQCRC1	7800	7782
1.25599817624e-07	4.1447939816e-06	GO:0043227	c	2	membrane-bounded organelle	35; 65993; 581; 635; 873; 1522; 5719; 2584; 2647; 3009; 3790; 4716; 4717; 4811; 5373; 5720; 5833; 203069; 6697; 6835; 7090; 7384; 7841; 8565; 8666; 8721; 9145; 9512; 9896; 10063; 7171; 10587; 10682; 10785; 10897; 11166; 11316; 2055; 51295; 55665; 79735; 79876; 51550; 342898; 84545; 29968; 84304; 51506; 79887; 53917; 283377; 55142; 55173; 55178; 22796; 284996; 55967; 23760; 56949; 56984; 57171; 221143; 57418; 57647; 25804; 25873; 26229; 26519; 28976; 29100; 29789; 29928; 29960; 30833; 64840; 65080	RNMTL1; ACADS; TLE3; HAUS2; N6AMT2; MRPL44; UFC1; BAX; DOLPP1; B3GAT3; SPRYD4; MRPS10; PMM2; NUDT22; EIF3G; URGCP; PITPNB; PSAT1; TMEM208; SYCN; BHMT; BLOC1S1; TIMM22; NT5C; MRPS34; SPR; TPM4; CBR1; FIG4; NDUFB10; NID1; YARS; R3HCC1; NDUFA12; KCNS3; RNF149; SURF2; TXNRD2; CLN8; EDF1; NDUFC1; WDR4; PSMG2; PLBD1; COPE; LSM4; COG2; PCYT2; FTSJ2; PSME1; TIMM10; CTSZ; UBA5; ECSIT; YIF1A; HIST1H1B; PMPCB; SOX21; PORCN; WDR18; RAB24; GALK1; SYNGR1; DHX37; MOGS; PSMD13; XAB2; MRPL43; RPL36; OLA1; EBP; ACAD9; COX17; TBC1D17; CINP; UQCRC1	11823	11780
2.51625681871e-07	1.08199043205e-05	GO:0044710	b	2	single-organism metabolic process	35; 65993; 581; 635; 873; 5719; 2584; 2647; 3009; 3790; 4716; 4717; 5373; 5720; 5833; 6535; 6697; 7384; 7841; 8565; 8721; 9512; 9896; 10587; 10682; 2055; 51295; 51550; 84545; 29968; 120526; 83549; 79887; 55173; 22796; 284996; 55967; 23760; 56949; 56984; 57171; 25804; 26229; 28976; 29789; 30833; 65080	RNF149; ACADS; SLC6A8; BAX; DOLPP1; B3GAT3; MRPS10; PMM2; PITPNB; PSAT1; PMPCB; BLOC1S1; MRPS34; SPR; CBR1; NDUFB10; LSM4; FIG4; YARS; NDUFA12; KCNS3; TXNRD2; CLN8; EDF1; NDUFC1; DNAJC24; PSMG2; PLBD1; UCK1; COG2; PCYT2; PSME1; OLA1; ECSIT; NT5C; HIST1H1B; BHMT; GALK1; ACAD9; MOGS; PSMD13; MRPL43; EBP; MRPL44; XAB2; CINP; UQCRC1	5298	5286
1.50589259031e-06	2.86119592158e-05	GO:0005737	c	3	cytoplasm	35; 65993; 581; 635; 873; 1522; 5719; 2584; 2647; 3790; 4716; 4717; 5373; 5720; 5833; 5876; 6697; 7384; 7841; 8565; 8666; 8721; 9145; 9512; 9896; 10063; 7171; 10587; 10682; 10785; 10897; 11316; 2055; 51295; 55665; 79735; 79876; 342898; 84545; 29968; 120526; 83549; 79887; 53917; 283377; 55142; 55173; 55178; 22796; 55967; 23640; 23760; 57171; 221143; 57418; 57647; 25804; 25873; 26229; 26519; 28976; 29100; 29780; 29789; 29928; 29960; 30833; 64840; 65080	RNMTL1; ACADS; HAUS2; DNAJC24; BAX; DOLPP1; B3GAT3; SPRYD4; PSAT1; MRPS10; PMM2; EIF3G; URGCP; HSPBP1; PITPNB; MRPL43; SYCN; BHMT; BLOC1S1; MRPS34; SPR; TPM4; CBR1; N6AMT2; NDUFB10; LSM4; FIG4; YARS; NDUFA12; KCNS3; TMEM208; DHX37; TXNRD2; CLN8; EDF1; NDUFC1; WDR4; TIMM10; PLBD1; COPE; UCK1; COG2; PCYT2; FTSJ2; PSME1; PARVB; CTSZ; UBA5; ECSIT; YIF1A; MRPL44; PMPCB; PORCN; WDR18; RAB24; GALK1; SYNGR1; ACAD9; MOGS; PSMD13; TIMM22; RABGGTB; RPL36; OLA1; EBP; NT5C; COX17; TBC1D17; UQCRC1	10429	10397
2.74435863499e-06	0.000386954567533	GO:0044281	b	3	small molecule metabolic process	35; 635; 873; 5719; 2584; 3790; 4716; 4717; 5373; 5720; 5833; 6535; 6697; 7384; 8565; 9512; 9896; 10682; 2055; 29968; 83549; 79887; 55967; 23760; 26229; 28976; 29789; 30833	ACADS; SLC6A8; B3GAT3; PMM2; PITPNB; BHMT; SPR; CBR1; NDUFB10; FIG4; YARS; NDUFA12; KCNS3; CLN8; NDUFC1; PLBD1; UCK1; PCYT2; PSME1; OLA1; PMPCB; GALK1; ACAD9; PSMD13; PSAT1; EBP; NT5C; UQCRC1	2462	2457
3.32037844447e-06	6.64075688895e-05	GO:0005740	c	4	mitochondrial envelope	65993; 581; 2647; 4716; 4717; 7384; 9512; 10063; 84545; 55173; 55967; 26519; 29928; 65080	NDUFC1; PMPCB; BLOC1S1; MRPS34; TIMM10; MRPL44; BAX; NDUFB10; MRPL43; NDUFA12; MRPS10; COX17; TIMM22; UQCRC1	696	696
3.51421955368e-06	4.30312419689e-05	GO:0044429	c	3	mitochondrial part	35; 65993; 581; 2647; 4716; 4717; 7384; 9512; 10063; 10587; 84545; 55173; 55967; 26519; 29928; 65080	NDUFC1; ACADS; PMPCB; BLOC1S1; MRPS34; TIMM10; MRPL44; BAX; NDUFB10; MRPL43; NDUFA12; MRPS10; COX17; TXNRD2; TIMM22; UQCRC1	911	911
4.52960441777e-06	4.30312419689e-05	GO:0098798	c	3	mitochondrial protein complex	581; 4716; 4717; 7384; 9512; 55967; 26519	NDUFC1; PMPCB; TIMM10; BAX; NDUFB10; NDUFA12; UQCRC1	144	144
7.43985317401e-06	0.000524509648768	GO:1901564	b	3	organonitrogen compound metabolic process	65993; 581; 635; 1522; 5719; 4716; 4717; 5720; 6535; 6697; 7384; 8565; 8666; 9512; 2055; 84545; 29968; 83549; 79887; 55173; 25873; 26229; 29789; 30833; 65080	SLC6A8; BAX; MRPS10; B3GAT3; EIF3G; MRPL43; BHMT; MRPS34; SPR; NDUFB10; YARS; CLN8; NDUFC1; PLBD1; UCK1; PSME1; CTSZ; OLA1; PMPCB; RPL36; PSMD13; PSAT1; MRPL44; NT5C; UQCRC1	2147	2140
