p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
0.000152195143245	0.00487024458384	GO:0046872	m	4	metal ion binding	648; 11237; 1912; 2081; 493911; 2737; 166655; 5101; 5922; 22895; 7273; 7429; 10568; 11044; 79836; 79845; 342933; 246175; 50484; 116984; 283208; 57494; 221895; 25976; 9615; 128209; 391712; 64761	JAZF1; P4HA3; TRIM61; ZSCAN5B; KLF17; ARAP2; GLI3; VIL1; SLC34A2; RRM2B; PHOSPHO2; PHC2; ERN1; TTN; LONRF3; BMI1; RPH3A; TIPARP; PAPD7; TRIM60; RNF24; RASA2; PCDH9; CNOT6L; PARP12; GDA; RIMKLB; RNF122	4109	4098
0.000195305026083	0.00390610052166	GO:0043167	m	2	ion binding	648; 11237; 1912; 2081; 493911; 2737; 166655; 3708; 3717; 3800; 5101; 5337; 5922; 22895; 7074; 7273; 7429; 10568; 11044; 79836; 79845; 342933; 246175; 50484; 116984; 283208; 9545; 57494; 221895; 25976; 9615; 390110; 128209; 338323; 391712; 64761	ACCSL; JAZF1; P4HA3; TRIM61; ZSCAN5B; KLF17; ARAP2; GLI3; TIAM1; VIL1; SLC34A2; JAK2; PHOSPHO2; RIMKLB; PHC2; RRM2B; ERN1; TTN; LONRF3; BMI1; RPH3A; TIPARP; PAPD7; TRIM60; RNF24; ITPR1; RASA2; PCDH9; CNOT6L; PLD1; NLRP14; KIF5C; PARP12; GDA; RAB3D; RNF122	6117	6098
0.000229548763659	0.00688646290976	GO:0043169	m	3	cation binding	648; 11237; 1912; 2081; 493911; 2737; 166655; 5101; 5922; 22895; 7273; 7429; 10568; 11044; 79836; 79845; 342933; 246175; 50484; 116984; 283208; 57494; 221895; 25976; 9615; 128209; 391712; 64761	JAZF1; P4HA3; TRIM61; ZSCAN5B; KLF17; ARAP2; GLI3; VIL1; SLC34A2; RRM2B; PHOSPHO2; PHC2; ERN1; TTN; LONRF3; BMI1; RPH3A; TIPARP; PAPD7; TRIM60; RNF24; RASA2; PCDH9; CNOT6L; PARP12; GDA; RIMKLB; RNF122	4204	4193
0.000573020457173	0.00916832731476	GO:0035091	m	4	phosphatidylinositol binding	3708; 5337; 22895; 7429; 116984	ARAP2; RPH3A; ITPR1; PLD1; VIL1	191	191
0.00087091905404	0.121928667566	GO:0055013	b	5	cardiac muscle cell development	7273; 80206; 91624	FHOD3; TTN; NEXN	53	53
0.000936002542223	0.00998402711705	GO:0042301	m	4	phosphate ion binding	22895; 10568	SLC34A2; RPH3A	13	13
0.000936002542223	0.0271440737245	GO:0035102	c	4	PRC1 complex	648; 1912	BMI1; PHC2	13	13
0.00102280544119	0.202515477356	GO:0055006	b	4	cardiac cell development	7273; 80206; 91624	FHOD3; TTN; NEXN	56	56
0.00144497039194	0.0216745558791	GO:0005543	m	3	phospholipid binding	3708; 5337; 22895; 7074; 7429; 116984	ARAP2; TIAM1; VIL1; RPH3A; ITPR1; PLD1	350	349
0.00378619549882	0.0536125275154	GO:0003950	m	5	NAD+ ADP-ribosyltransferase activity	25976; 64761	PARP12; TIPARP	26	26
0.00438365447081	0.276172020139	GO:0032528	b	4	microvillus organization	5337; 7429	VIL1; PLD1	28	28
0.00502180229309	0.276172020139	GO:0030261	b	4	chromosome condensation	7273; 11044	TTN; PAPD7	30	30
0.00535595106694	0.283291028702	GO:0048665	b	5	neuron fate specification	2737; 5457	GLI3; POU4F1	31	31
0.00595694750171	0.0536125275154	GO:1901981	m	5	phosphatidylinositol phosphate binding	7429; 116984; 22895	VIL1; RPH3A; ARAP2	104	104
0.00618763238017	0.276172020139	GO:0051650	b	4	establishment of vesicle localization	22895; 85439; 89866; 9545	SEC16B; RPH3A; STON2; RAB3D	208	207
0.00713013808547	0.283291028702	GO:0035051	b	5	cardiocyte differentiation	7273; 80206; 91624	FHOD3; TTN; NEXN	112	111
0.00740630301867	0.276172020139	GO:0051648	b	4	vesicle localization	22895; 85439; 89866; 9545	SEC16B; RPH3A; STON2; RAB3D	219	218
0.00748869196801	0.134879094079	GO:0030018	c	3	Z disc	7273; 80206; 91624	FHOD3; TTN; NEXN	113	113
0.00836884909512	0.276172020139	GO:0060537	b	4	muscle tissue development	5457; 7273; 80206; 25976; 91624	POU4F1; FHOD3; TIPARP; TTN; NEXN	356	355
0.00923302936419	0.0923302936419	GO:0008307	m	2	structural constituent of muscle	7273; 91624	TTN; NEXN	41	41
0.00923302936419	0.120846444465	GO:0000152	c	4	nuclear ubiquitin ligase complex	648; 1912	BMI1; PHC2	41	41
0.00923334355204	0.0738667484163	GO:0051015	m	4	actin filament binding	7273; 7429; 91624	VIL1; TTN; NEXN	122	122
