p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
6.02408306815e-19	2.1348865359e-17	GO:0065010	c	3	extracellular membrane-bounded organelle	60; 81; 226; 292; 375; 635; 928; 967; 998; 1213; 1601; 1642; 1915; 1938; 1984; 2170; 2495; 2760; 2782; 2810; 3021; 3301; 3312; 3320; 3326; 3875; 4036; 4191; 4628; 801; 5036; 5757; 6124; 6129; 6188; 6205; 6385; 6643; 6652; 7314; 7323; 7531; 7534; 9446; 10399; 10574; 10728; 29968; 23171	MYH10; SNX2; RPS11; EEF1A1; RPL4; HSPA8; UBE2D3; RPS3; FABP3; CLTC; DAB2; CD9; EIF5A; YWHAZ; GNB2L1; BHMT; CALM1; MDH2; ARF1; CCT7; HSP90AB1; H3F3B; RPL7; DDB1; FTH1; YWHAE; CD63; PSAT1; GNB1; SLC25A5; SORD; GSTO1; GPD1L; ALDOA; PA2G4; LRP2; DNAJA1; PTMA; ACTN4; PTGES3; GM2A; SDC4; SFN; UBB; HSP90AA1; ACTB; KRT18; EEF2; CDC42	2779	2768
6.02408306815e-19	3.67469067157e-17	GO:0070062	c	4	extracellular exosome	60; 81; 226; 292; 375; 635; 928; 967; 998; 1213; 1601; 1642; 1915; 1938; 1984; 2170; 2495; 2760; 2782; 2810; 3021; 3301; 3312; 3320; 3326; 3875; 4036; 4191; 4628; 801; 5036; 5757; 6124; 6129; 6188; 6205; 6385; 6643; 6652; 7314; 7323; 7531; 7534; 9446; 10399; 10574; 10728; 29968; 23171	MYH10; SNX2; RPS11; EEF1A1; RPL4; HSPA8; UBE2D3; RPS3; FABP3; CLTC; DAB2; CD9; EIF5A; YWHAZ; GNB2L1; BHMT; CALM1; MDH2; ARF1; CCT7; HSP90AB1; H3F3B; RPL7; DDB1; FTH1; YWHAE; CD63; PSAT1; GNB1; SLC25A5; SORD; GSTO1; GPD1L; ALDOA; PA2G4; LRP2; DNAJA1; PTMA; ACTN4; PTGES3; GM2A; SDC4; SFN; UBB; HSP90AA1; ACTB; KRT18; EEF2; CDC42	2779	2768
7.36167771e-19	3.4599885237e-17	GO:0043230	c	2	extracellular organelle	60; 81; 226; 292; 375; 635; 928; 967; 998; 1213; 1601; 1642; 1915; 1938; 1984; 2170; 2495; 2760; 2782; 2810; 3021; 3301; 3312; 3320; 3326; 3875; 4036; 4191; 4628; 801; 5036; 5757; 6124; 6129; 6188; 6205; 6385; 6643; 6652; 7314; 7323; 7531; 7534; 9446; 10399; 10574; 10728; 29968; 23171	MYH10; SNX2; RPS11; EEF1A1; RPL4; HSPA8; UBE2D3; RPS3; FABP3; CLTC; DAB2; CD9; EIF5A; YWHAZ; GNB2L1; BHMT; CALM1; MDH2; ARF1; CCT7; HSP90AB1; H3F3B; RPL7; DDB1; FTH1; YWHAE; CD63; PSAT1; GNB1; SLC25A5; SORD; GSTO1; GPD1L; ALDOA; PA2G4; LRP2; DNAJA1; PTMA; ACTN4; PTGES3; GM2A; SDC4; SFN; UBB; HSP90AA1; ACTB; KRT18; EEF2; CDC42	2792	2781
7.36167771e-19	2.1348865359e-17	GO:1903561	c	3	extracellular vesicle	60; 81; 226; 292; 375; 635; 928; 967; 998; 1213; 1601; 1642; 1915; 1938; 1984; 2170; 2495; 2760; 2782; 2810; 3021; 3301; 3312; 3320; 3326; 3875; 4036; 4191; 4628; 801; 5036; 5757; 6124; 6129; 6188; 6205; 6385; 6643; 6652; 7314; 7323; 7531; 7534; 9446; 10399; 10574; 10728; 29968; 23171	MYH10; SNX2; RPS11; EEF1A1; RPL4; HSPA8; UBE2D3; RPS3; FABP3; CLTC; DAB2; CD9; EIF5A; YWHAZ; GNB2L1; BHMT; CALM1; MDH2; ARF1; CCT7; HSP90AB1; H3F3B; RPL7; DDB1; FTH1; YWHAE; CD63; PSAT1; GNB1; SLC25A5; SORD; GSTO1; GPD1L; ALDOA; PA2G4; LRP2; DNAJA1; PTMA; ACTN4; PTGES3; GM2A; SDC4; SFN; UBB; HSP90AA1; ACTB; KRT18; EEF2; CDC42	2792	2781
9.6481190851e-19	2.31554858042e-17	GO:0044822	m	5	poly(A) RNA binding	81; 226; 292; 375; 1213; 1915; 1938; 1982; 1984; 3069; 3312; 3320; 3326; 3875; 4191; 5036; 6124; 6129; 6132; 6188; 6205; 7531; 7534; 7555; 7812; 8894; 9908; 10399; 10963; 11072; 113251; 4869; 54502; 23521	RPS11; RPL8; RPL7; RPL4; HSPA8; CNBP; RPS3; MDH2; CLTC; STIP1; EIF5A; YWHAZ; GNB2L1; CSDE1; ARF1; HSP90AB1; RPL13A; EEF1A1; EIF2S2; YWHAE; LARP4; HDLBP; SLC25A5; ALDOA; DUSP14; NPM1; PA2G4; ACTN4; EIF4G2; RBM47; G3BP2; HSP90AA1; EEF2; KRT18	1181	1177
2.26021852362e-16	5.3115135305e-15	GO:0031982	c	2	vesicle	60; 81; 226; 292; 375; 635; 928; 967; 998; 1213; 1601; 1642; 1915; 1938; 1984; 2170; 2495; 2760; 2782; 2810; 3021; 3301; 3312; 3320; 3326; 3875; 4036; 4043; 4191; 4628; 801; 5036; 5757; 6124; 6129; 6188; 6205; 6385; 6643; 6652; 7314; 7323; 7531; 7534; 9446; 10399; 10574; 10728; 11345; 29968; 81631; 23171	MYH10; SNX2; RPS11; LRPAP1; EEF1A1; RPL4; HSPA8; UBE2D3; RPS3; FABP3; CLTC; DAB2; CD9; EIF5A; YWHAZ; GNB2L1; MAP1LC3B; BHMT; CALM1; MDH2; ARF1; CCT7; HSP90AB1; H3F3B; RPL7; DDB1; FTH1; YWHAE; CD63; PSAT1; GNB1; SLC25A5; SORD; GSTO1; GPD1L; ALDOA; PA2G4; LRP2; DNAJA1; PTMA; ACTN4; PTGES3; GM2A; SDC4; SFN; GABARAPL2; UBB; HSP90AA1; ACTB; KRT18; EEF2; CDC42	3633	3619
6.34538658095e-16	1.93534290719e-14	GO:0005829	c	4	cytosol	60; 226; 375; 635; 998; 1213; 1915; 1938; 1982; 1984; 2170; 2495; 2782; 2810; 3301; 3312; 3320; 3326; 4628; 801; 6124; 6129; 6132; 6188; 6205; 6241; 6642; 6652; 6921; 7314; 7323; 7531; 7534; 7555; 8065; 8894; 9446; 10399; 10574; 10728; 11345; 4869; 29968; 81631; 51477; 23171; 23521; 10910	MYH10; RPS11; RPL8; RPL7; RPL4; HSPA8; SNX1; CNBP; RPS3; FABP3; CLTC; EIF5A; YWHAZ; GNB2L1; SUGT1; BHMT; CALM1; ARF1; CCT7; HSP90AB1; RPL13A; MAP1LC3B; EEF1A1; RRM2; CUL5; FTH1; TCEB1; YWHAE; PSAT1; GNB1; UBE2D3; SORD; GSTO1; GPD1L; ALDOA; ISYNA1; NPM1; DNAJA1; PTGES3; EIF4G2; GABARAPL2; SFN; EIF2S2; UBB; HSP90AA1; ACTB; EEF2; CDC42	3132	3125
8.68002333544e-15	4.42681190108e-13	GO:0003723	m	4	RNA binding	81; 226; 292; 375; 1213; 1915; 1938; 1982; 1984; 3069; 3312; 3320; 3326; 3875; 4191; 5036; 6124; 6129; 6132; 6188; 6205; 7531; 7534; 7555; 7812; 8894; 9908; 10399; 10963; 11072; 113251; 4869; 54502; 23521	RPS11; RPL8; RPL7; RPL4; HSPA8; CNBP; RPS3; MDH2; CLTC; STIP1; EIF5A; YWHAZ; GNB2L1; CSDE1; ARF1; HSP90AB1; RPL13A; EEF1A1; EIF2S2; YWHAE; LARP4; HDLBP; SLC25A5; ALDOA; DUSP14; NPM1; PA2G4; ACTN4; EIF4G2; RBM47; G3BP2; HSP90AA1; EEF2; KRT18	1597	1590
1.0974204482e-14	2.12167953319e-13	GO:0031988	c	3	membrane-bounded vesicle	60; 81; 226; 292; 375; 635; 928; 967; 998; 1213; 1601; 1642; 1915; 1938; 1984; 2170; 2495; 2760; 2782; 2810; 3021; 3301; 3312; 3320; 3326; 3875; 4036; 4191; 4628; 801; 5036; 5757; 6124; 6129; 6188; 6205; 6385; 6643; 6652; 7314; 7323; 7531; 7534; 9446; 10399; 10574; 10728; 29968; 23171	MYH10; SNX2; RPS11; EEF1A1; RPL4; HSPA8; UBE2D3; RPS3; FABP3; CLTC; DAB2; CD9; EIF5A; YWHAZ; GNB2L1; BHMT; CALM1; MDH2; ARF1; CCT7; HSP90AB1; H3F3B; RPL7; DDB1; FTH1; YWHAE; CD63; PSAT1; GNB1; SLC25A5; SORD; GSTO1; GPD1L; ALDOA; PA2G4; LRP2; DNAJA1; PTMA; ACTN4; PTGES3; GM2A; SDC4; SFN; UBB; HSP90AA1; ACTB; KRT18; EEF2; CDC42	3514	3501
5.17103764077e-14	8.10129230387e-13	GO:0043209	c	2	myelin sheath	50; 60; 291; 292; 998; 1213; 1915; 2782; 3312; 3320; 3419; 4191; 9446; 10963	IDH3A; GSTO1; EEF1A1; HSPA8; GNB1; SLC25A5; SLC25A4; MDH2; CLTC; HSP90AA1; ACTB; ACO2; STIP1; CDC42	169	169
