p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
6.59414677062e-06	0.000296736604678	GO:0016620	m	4	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	218; 219; 10840; 55711	ALDH1B1; ALDH1L1; ALDH3A1; FAR2	31	31
2.73626665973e-05	0.00117659466369	GO:0016903	m	3	oxidoreductase activity, acting on the aldehyde or oxo group of donors	218; 219; 10840; 55711	ALDH1B1; ALDH1L1; ALDH3A1; FAR2	44	44
4.67182012379e-05	0.00121467323218	GO:0004029	m	5	aldehyde dehydrogenase (NAD) activity	218; 219; 10840	ALDH1B1; ALDH1L1; ALDH3A1	18	18
0.000286720485734	0.0103219374864	GO:0005737	c	3	cytoplasm	218; 219; 309; 822; 1200; 1421; 1429; 2053; 2150; 2948; 3172; 3678; 4192; 4582; 4776; 5358; 22921; 6657; 7145; 7155; 7351; 8509; 8653; 8692; 8879; 8906; 9704; 10307; 10840; 11343; 29109; 116840; 80150; 80317; 203054; 81544; 81889; 246269; 57465; 51205; 84869; 54677; 80119; 55229; 55243; 55687; 55711; 23410; 56829; 56895; 91754; 26873; 94120; 84233; 64600; 55629	KIRREL; EPHX2; NFATC4; TMEM126A; SYTL3; FAR2; GSTM4; ACP6; ALDH3A1; MGLL; ITGA5; MSRB2; SOX2; NEK9; CRYGD; OPLAH; MDK; SGPL1; PANK4; DHX34; NDST2; ADCK5; PIF1; APBB3; CNTROB; FAHD1; ZC3HAV1; TBC1D24; TNS1; TOP2B; CROT; SIRT3; CBR4; PLS3; TRMU; DDX3Y; CRYZ; ANXA6; TPP1; MUC1; LACE1; PLA2G2F; ALDH1B1; UCP2; CAPG; ASRGL1; PNRC2; FHOD1; HYAL2; AP1G2; HNF4A; ZKSCAN3; AGPAT4; GDPD5; F2RL1; ALDH1L1	10429	10397
0.000357017515892	0.0428844938693	GO:0010761	b	5	fibroblast migration	7145; 8692; 8879	HYAL2; TNS1; SGPL1	35	35
0.000395175233271	0.0229201635297	GO:0044710	b	2	single-organism metabolic process	218; 219; 1200; 1429; 2053; 2150; 2948; 3172; 4582; 4776; 22921; 6657; 7155; 7351; 7703; 8509; 8692; 8879; 9637; 10840; 11343; 80150; 81544; 606495; 51205; 84869; 54677; 80119; 55229; 55711; 23410; 56895; 26873; 27293; 64600	EPHX2; NFATC4; GSTM4; CROT; ALDH3A1; MGLL; ACP6; MSRB2; SOX2; OPLAH; SGPL1; PANK4; CBR4; NDST2; ASRGL1; TOP2B; SIRT3; CRYZ; TPP1; MUC1; FAR2; PLA2G2F; ALDH1B1; UCP2; SMPDL3B; PCGF2; HYAL2; ALDH1L1; FEZ2; HNF4A; PIF1; AGPAT4; GDPD5; F2RL1; CYB5RL	5298	5286
0.000547872287406	0.0428844938693	GO:0001714	b	5	endodermal cell fate specification	6657; 8320	SOX2; EOMES	9	9
0.000635865446033	0.0499009788664	GO:0006805	b	3	xenobiotic metabolic process	1429; 2053; 2948; 3172; 26873	HNF4A; EPHX2; GSTM4; OPLAH; CRYZ	175	174
0.00065522420876	0.0229328473066	GO:0005739	c	4	mitochondrion	219; 309; 1200; 22921; 7351; 10840; 84233; 203054; 81889; 246269; 51205; 84869; 54677; 80119; 55687; 23410	SIRT3; CBR4; ACP6; TRMU; TMEM126A; ANXA6; TPP1; ALDH1L1; ADCK5; MSRB2; FAHD1; PIF1; LACE1; ALDH1B1; UCP2; CROT	1660	1658
0.000683083140478	0.0947348023613	GO:0042178	b	4	xenobiotic catabolic process	1429; 2948	GSTM4; CRYZ	10	10
0.00072268695754	0.0947348023613	GO:0071466	b	4	cellular response to xenobiotic stimulus	1429; 2053; 2948; 3172; 26873	HNF4A; EPHX2; GSTM4; OPLAH; CRYZ	180	179
0.000752359541567	0.0428844938693	GO:0035987	b	5	endodermal cell differentiation	3678; 6657; 8320	SOX2; EOMES; ITGA5	45	45
0.000838251685006	0.0499009788664	GO:0009410	b	3	response to xenobiotic stimulus	1429; 2053; 2948; 3172; 26873	HNF4A; EPHX2; GSTM4; OPLAH; CRYZ	186	185
0.0010648459784	0.0499009788664	GO:0055114	b	3	oxidation-reduction process	218; 219; 1429; 4776; 22921; 7351; 10840; 606495; 84869; 54677; 55711; 23410	SIRT3; NFATC4; CRYZ; CBR4; ALDH1L1; ALDH3A1; MSRB2; FAR2; ALDH1B1; UCP2; CYB5RL; CROT	1083	1083
0.00109672481025	0.0499009788664	GO:0044281	b	3	small molecule metabolic process	219; 2053; 2948; 3172; 7351; 8509; 8692; 8879; 10840; 11343; 80150; 81544; 84869; 54677; 55229; 55711; 56895; 26873; 27293; 64600	SMPDL3B; CBR4; EPHX2; MGLL; FAR2; GSTM4; NDST2; GDPD5; HNF4A; SGPL1; OPLAH; PLA2G2F; CROT; ASRGL1; AGPAT4; HYAL2; ALDH1B1; UCP2; ALDH1L1; PANK4	2462	2457
0.00116111273875	0.0947348023613	GO:0000302	b	4	response to reactive oxygen species	343; 1421; 7351; 7703; 8692	HYAL2; UCP2; PCGF2; CRYGD; AQP8	199	199
0.00136723290737	0.0307627404157	GO:0070402	m	4	NADPH binding	1429; 84869	CBR4; CRYZ	14	14
