p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.10684612204e-22	7.97139202972e-21	GO:0065010	c	3	extracellular membrane-bounded organelle	60; 70; 72; 87; 213; 290; 301; 316; 667; 718; 730; 1208; 1401; 1465; 1674; 2167; 2194; 2621; 2813; 2821; 3043; 3315; 3326; 3329; 3336; 3494; 3848; 3858; 3860; 4023; 4190; 4256; 4666; 5284; 5644; 5950; 5967; 6175; 6289; 6515; 7077; 7128; 7170; 7273; 7314; 7316; 7450; 7532; 7832; 8991; 10399; 5837; 59; 116496; 57153; 26986	ENSG00000163631; ENSG00000170315; ENSG00000175084; ENSG00000171401; ENSG00000159176; ENSG00000186395; ENSG00000169710; ENSG00000204628; ENSG00000129353; ENSG00000068976; ENSG00000135842; ENSG00000143549; ENSG00000211890; ENSG00000244734; ENSG00000167768; ENSG00000111341; ENSG00000150991; ENSG00000166825; ENSG00000107796; ENSG00000169347; ENSG00000159388; ENSG00000106211; ENSG00000072110; ENSG00000096384; ENSG00000135046; ENSG00000070756; ENSG00000115386; ENSG00000138356; ENSG00000014641; ENSG00000144381; ENSG00000170323; ENSG00000155657; ENSG00000125730; ENSG00000059804; ENSG00000151914; ENSG00000138207; ENSG00000089157; ENSG00000143416; ENSG00000204983; ENSG00000112936; ENSG00000118503; ENSG00000159251; ENSG00000132693; ENSG00000183087; ENSG00000137392; ENSG00000175445; ENSG00000134339; ENSG00000163017; ENSG00000115541; ENSG00000075624; ENSG00000035862; ENSG00000110799; ENSG00000170027; ENSG00000162896; ENSG00000105220; ENSG00000196531	2779	2768
2.10684612204e-22	9.9021767736e-21	GO:0070062	c	4	extracellular exosome	60; 70; 72; 87; 213; 290; 301; 316; 667; 718; 730; 1208; 1401; 1465; 1674; 2167; 2194; 2621; 2813; 2821; 3043; 3315; 3326; 3329; 3336; 3494; 3848; 3858; 3860; 4023; 4190; 4256; 4666; 5284; 5644; 5950; 5967; 6175; 6289; 6515; 7077; 7128; 7170; 7273; 7314; 7316; 7450; 7532; 7832; 8991; 10399; 5837; 59; 57153; 116496; 26986	ENSG00000163631; ENSG00000170315; ENSG00000175084; ENSG00000171401; ENSG00000159176; ENSG00000186395; ENSG00000169710; ENSG00000204628; ENSG00000129353; ENSG00000068976; ENSG00000135842; ENSG00000143549; ENSG00000211890; ENSG00000244734; ENSG00000167768; ENSG00000111341; ENSG00000150991; ENSG00000166825; ENSG00000107796; ENSG00000169347; ENSG00000159388; ENSG00000106211; ENSG00000072110; ENSG00000096384; ENSG00000135046; ENSG00000070756; ENSG00000115386; ENSG00000138356; ENSG00000014641; ENSG00000144381; ENSG00000170323; ENSG00000155657; ENSG00000125730; ENSG00000059804; ENSG00000151914; ENSG00000138207; ENSG00000089157; ENSG00000143416; ENSG00000204983; ENSG00000112936; ENSG00000118503; ENSG00000159251; ENSG00000132693; ENSG00000183087; ENSG00000137392; ENSG00000175445; ENSG00000134339; ENSG00000163017; ENSG00000115541; ENSG00000075624; ENSG00000035862; ENSG00000110799; ENSG00000170027; ENSG00000162896; ENSG00000105220; ENSG00000196531	2779	2768
2.65713067657e-22	1.06285227063e-20	GO:0043230	c	2	extracellular organelle	60; 70; 72; 87; 213; 290; 301; 316; 667; 718; 730; 1208; 1401; 1465; 1674; 2167; 2194; 2621; 2813; 2821; 3043; 3315; 3326; 3329; 3336; 3494; 3848; 3858; 3860; 4023; 4190; 4256; 4666; 5284; 5644; 5950; 5967; 6175; 6289; 6515; 7077; 7128; 7170; 7273; 7314; 7316; 7450; 7532; 7832; 8991; 10399; 5837; 59; 116496; 57153; 26986	ENSG00000163631; ENSG00000170315; ENSG00000175084; ENSG00000171401; ENSG00000159176; ENSG00000186395; ENSG00000169710; ENSG00000204628; ENSG00000129353; ENSG00000068976; ENSG00000135842; ENSG00000143549; ENSG00000211890; ENSG00000244734; ENSG00000167768; ENSG00000111341; ENSG00000150991; ENSG00000166825; ENSG00000107796; ENSG00000169347; ENSG00000159388; ENSG00000106211; ENSG00000072110; ENSG00000096384; ENSG00000135046; ENSG00000070756; ENSG00000115386; ENSG00000138356; ENSG00000014641; ENSG00000144381; ENSG00000170323; ENSG00000155657; ENSG00000125730; ENSG00000059804; ENSG00000151914; ENSG00000138207; ENSG00000089157; ENSG00000143416; ENSG00000204983; ENSG00000112936; ENSG00000118503; ENSG00000159251; ENSG00000132693; ENSG00000183087; ENSG00000137392; ENSG00000175445; ENSG00000134339; ENSG00000163017; ENSG00000115541; ENSG00000075624; ENSG00000035862; ENSG00000110799; ENSG00000170027; ENSG00000162896; ENSG00000105220; ENSG00000196531	2792	2781
2.65713067657e-22	7.97139202972e-21	GO:1903561	c	3	extracellular vesicle	60; 70; 72; 87; 213; 290; 301; 316; 667; 718; 730; 1208; 1401; 1465; 1674; 2167; 2194; 2621; 2813; 2821; 3043; 3315; 3326; 3329; 3336; 3494; 3848; 3858; 3860; 4023; 4190; 4256; 4666; 5284; 5644; 5950; 5967; 6175; 6289; 6515; 7077; 7128; 7170; 7273; 7314; 7316; 7450; 7532; 7832; 8991; 10399; 5837; 59; 116496; 57153; 26986	ENSG00000163631; ENSG00000170315; ENSG00000175084; ENSG00000171401; ENSG00000159176; ENSG00000186395; ENSG00000169710; ENSG00000204628; ENSG00000129353; ENSG00000068976; ENSG00000135842; ENSG00000143549; ENSG00000211890; ENSG00000244734; ENSG00000167768; ENSG00000111341; ENSG00000150991; ENSG00000166825; ENSG00000107796; ENSG00000169347; ENSG00000159388; ENSG00000106211; ENSG00000072110; ENSG00000096384; ENSG00000135046; ENSG00000070756; ENSG00000115386; ENSG00000138356; ENSG00000014641; ENSG00000144381; ENSG00000170323; ENSG00000155657; ENSG00000125730; ENSG00000059804; ENSG00000151914; ENSG00000138207; ENSG00000089157; ENSG00000143416; ENSG00000204983; ENSG00000112936; ENSG00000118503; ENSG00000159251; ENSG00000132693; ENSG00000183087; ENSG00000137392; ENSG00000175445; ENSG00000134339; ENSG00000163017; ENSG00000115541; ENSG00000075624; ENSG00000035862; ENSG00000110799; ENSG00000170027; ENSG00000162896; ENSG00000105220; ENSG00000196531	2792	2781
4.68828392522e-19	9.37656785044e-18	GO:0031988	c	3	membrane-bounded vesicle	60; 70; 72; 87; 213; 290; 301; 316; 667; 718; 730; 1208; 1401; 1465; 1674; 2167; 2194; 2621; 2813; 2821; 3043; 3315; 3326; 3329; 3336; 3494; 3848; 3858; 3860; 4023; 4190; 4256; 4666; 5284; 5644; 5950; 5967; 6175; 6289; 6515; 7077; 7128; 7170; 7273; 7314; 7316; 7450; 7532; 7832; 8991; 10399; 23710; 5837; 59; 7422; 116496; 57153; 26986	ENSG00000163631; ENSG00000170315; ENSG00000175084; ENSG00000171401; ENSG00000159176; ENSG00000186395; ENSG00000169710; ENSG00000204628; ENSG00000129353; ENSG00000068976; ENSG00000135842; ENSG00000143549; ENSG00000211890; ENSG00000244734; ENSG00000167768; ENSG00000111341; ENSG00000150991; ENSG00000112715; ENSG00000166825; ENSG00000107796; ENSG00000169347; ENSG00000159388; ENSG00000106211; ENSG00000072110; ENSG00000096384; ENSG00000135046; ENSG00000070756; ENSG00000115386; ENSG00000139112; ENSG00000138356; ENSG00000014641; ENSG00000144381; ENSG00000170323; ENSG00000155657; ENSG00000125730; ENSG00000059804; ENSG00000151914; ENSG00000138207; ENSG00000089157; ENSG00000143416; ENSG00000204983; ENSG00000112936; ENSG00000118503; ENSG00000159251; ENSG00000132693; ENSG00000183087; ENSG00000137392; ENSG00000175445; ENSG00000134339; ENSG00000163017; ENSG00000115541; ENSG00000075624; ENSG00000035862; ENSG00000110799; ENSG00000170027; ENSG00000162896; ENSG00000105220; ENSG00000196531	3514	3501
2.41445517033e-18	4.82891034066e-17	GO:0031982	c	2	vesicle	60; 70; 72; 87; 213; 290; 301; 316; 667; 718; 730; 1208; 1401; 1465; 1674; 2167; 2194; 2621; 2813; 2821; 3043; 3315; 3326; 3329; 3336; 3494; 3848; 3858; 3860; 4023; 4190; 4256; 4666; 5284; 5644; 5950; 5967; 6175; 6289; 6515; 7077; 7128; 7170; 7273; 7314; 7316; 7450; 7532; 7832; 8991; 10399; 23710; 5837; 59; 7422; 116496; 57153; 26986	ENSG00000163631; ENSG00000170315; ENSG00000175084; ENSG00000171401; ENSG00000159176; ENSG00000186395; ENSG00000169710; ENSG00000204628; ENSG00000129353; ENSG00000068976; ENSG00000135842; ENSG00000143549; ENSG00000211890; ENSG00000244734; ENSG00000167768; ENSG00000111341; ENSG00000150991; ENSG00000112715; ENSG00000166825; ENSG00000107796; ENSG00000169347; ENSG00000159388; ENSG00000106211; ENSG00000072110; ENSG00000096384; ENSG00000135046; ENSG00000070756; ENSG00000115386; ENSG00000139112; ENSG00000138356; ENSG00000014641; ENSG00000144381; ENSG00000170323; ENSG00000155657; ENSG00000125730; ENSG00000059804; ENSG00000151914; ENSG00000138207; ENSG00000089157; ENSG00000143416; ENSG00000204983; ENSG00000112936; ENSG00000118503; ENSG00000159251; ENSG00000132693; ENSG00000183087; ENSG00000137392; ENSG00000175445; ENSG00000134339; ENSG00000163017; ENSG00000115541; ENSG00000075624; ENSG00000035862; ENSG00000110799; ENSG00000170027; ENSG00000162896; ENSG00000105220; ENSG00000196531	3633	3619
1.42003951223e-15	1.8933860163e-14	GO:0005615	c	2	extracellular space	60; 70; 72; 87; 213; 290; 301; 718; 1281; 1357; 1360; 1401; 2621; 2821; 3043; 3315; 3329; 3494; 3848; 3858; 4023; 4190; 5284; 5502; 5644; 5950; 6289; 7077; 7314; 7316; 8991; 59; 7422; 26585	ENSG00000163631; ENSG00000170315; ENSG00000186395; ENSG00000014641; ENSG00000211890; ENSG00000244734; ENSG00000167768; ENSG00000150991; ENSG00000091704; ENSG00000166825; ENSG00000107796; ENSG00000106211; ENSG00000072110; ENSG00000135046; ENSG00000144381; ENSG00000112715; ENSG00000135447; ENSG00000125730; ENSG00000153002; ENSG00000138207; ENSG00000143416; ENSG00000204983; ENSG00000166923; ENSG00000159251; ENSG00000132693; ENSG00000183087; ENSG00000175445; ENSG00000134339; ENSG00000163017; ENSG00000075624; ENSG00000035862; ENSG00000168542; ENSG00000162896; ENSG00000105220	1338	1327
1.80065660159e-15	4.23154301374e-14	GO:0043292	c	4	contractile fiber	70; 87; 667; 800; 1674; 3315; 4604; 4607; 4619; 4620; 4624; 7139; 7170; 7273; 59; 25802; 27063	ENSG00000107796; ENSG00000159251; ENSG00000196091; ENSG00000175084; ENSG00000197616; ENSG00000109061; ENSG00000125414; ENSG00000122786; ENSG00000106211; ENSG00000072110; ENSG00000163431; ENSG00000151914; ENSG00000155657; ENSG00000143549; ENSG00000148677; ENSG00000118194; ENSG00000134571	222	222
1.40826703163e-14	1.68992043796e-13	GO:0030016	c	5	myofibril	70; 87; 667; 800; 1674; 3315; 4604; 4607; 4619; 4620; 4624; 7139; 7170; 7273; 25802; 27063	ENSG00000159251; ENSG00000196091; ENSG00000175084; ENSG00000197616; ENSG00000109061; ENSG00000125414; ENSG00000122786; ENSG00000106211; ENSG00000072110; ENSG00000163431; ENSG00000151914; ENSG00000155657; ENSG00000143549; ENSG00000148677; ENSG00000118194; ENSG00000134571	210	210
1.57438931135e-13	1.57438931135e-12	GO:0044449	c	2	contractile fiber part	70; 87; 667; 1674; 3315; 4607; 4619; 4620; 4624; 7139; 7170; 7273; 59; 25802; 27063	ENSG00000107796; ENSG00000159251; ENSG00000134571; ENSG00000197616; ENSG00000109061; ENSG00000125414; ENSG00000106211; ENSG00000072110; ENSG00000163431; ENSG00000151914; ENSG00000155657; ENSG00000143549; ENSG00000148677; ENSG00000118194; ENSG00000175084	203	203
