p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
6.05276914215e-20	4.2369383995e-19	GO:0030016	c	5	myofibril	58; 70; 286; 1410; 4624; 4625; 4633; 4634; 4892; 7134; 7138; 7273; 8048; 8557; 9659; 57159; 51778; 26287; 27063	ENSG00000109846; ENSG00000197893; ENSG00000105048; ENSG00000159251; ENSG00000160808; ENSG00000197616; ENSG00000178104; ENSG00000173991; ENSG00000111245; ENSG00000143632; ENSG00000029534; ENSG00000155657; ENSG00000138100; ENSG00000165887; ENSG00000092054; ENSG00000114854; ENSG00000129170; ENSG00000148677; ENSG00000172399	210	210
1.75201423966e-19	6.1320498388e-18	GO:0043292	c	4	contractile fiber	58; 70; 286; 1410; 4624; 4625; 4633; 4634; 4892; 7134; 7138; 7273; 8048; 8557; 9659; 57159; 51778; 26287; 27063	ENSG00000109846; ENSG00000197893; ENSG00000105048; ENSG00000159251; ENSG00000160808; ENSG00000197616; ENSG00000178104; ENSG00000173991; ENSG00000111245; ENSG00000143632; ENSG00000029534; ENSG00000155657; ENSG00000138100; ENSG00000165887; ENSG00000092054; ENSG00000114854; ENSG00000129170; ENSG00000148677; ENSG00000172399	222	222
5.04795751352e-18	2.62493790703e-16	GO:0030017	c	3	sarcomere	58; 70; 286; 1410; 4624; 4625; 4633; 4634; 7134; 7138; 7273; 8048; 8557; 57159; 51778; 26287; 27063	ENSG00000109846; ENSG00000172399; ENSG00000105048; ENSG00000159251; ENSG00000160808; ENSG00000197616; ENSG00000173991; ENSG00000111245; ENSG00000143632; ENSG00000029534; ENSG00000155657; ENSG00000138100; ENSG00000165887; ENSG00000092054; ENSG00000114854; ENSG00000129170; ENSG00000148677	185	185
2.46707310586e-17	1.08551216658e-15	GO:0044449	c	2	contractile fiber part	58; 70; 286; 1410; 4624; 4625; 4633; 4634; 7134; 7138; 7273; 8048; 8557; 57159; 51778; 26287; 27063	ENSG00000109846; ENSG00000172399; ENSG00000105048; ENSG00000159251; ENSG00000160808; ENSG00000197616; ENSG00000173991; ENSG00000111245; ENSG00000143632; ENSG00000029534; ENSG00000155657; ENSG00000138100; ENSG00000165887; ENSG00000092054; ENSG00000114854; ENSG00000129170; ENSG00000148677	203	203
1.33579949667e-14	3.47307869135e-13	GO:0031674	c	3	I band	70; 286; 1410; 4624; 4625; 4634; 7273; 8048; 8557; 57159; 51778; 26287; 27063	ENSG00000109846; ENSG00000172399; ENSG00000159251; ENSG00000160808; ENSG00000197616; ENSG00000173991; ENSG00000029534; ENSG00000155657; ENSG00000138100; ENSG00000165887; ENSG00000092054; ENSG00000129170; ENSG00000148677	127	127
5.21443615388e-14	2.19006318463e-12	GO:0008092	m	3	cytoskeletal protein binding	58; 70; 286; 816; 1410; 2170; 3936; 4624; 4625; 4633; 4634; 4892; 5774; 7134; 7138; 7273; 8048; 8557; 57159; 51088; 51778; 54751; 26287; 27063	ENSG00000109846; ENSG00000121769; ENSG00000105048; ENSG00000160808; ENSG00000136167; ENSG00000197616; ENSG00000197893; ENSG00000029534; ENSG00000138100; ENSG00000114854; ENSG00000173991; ENSG00000058404; ENSG00000172399; ENSG00000148677; ENSG00000165887; ENSG00000092054; ENSG00000109790; ENSG00000155657; ENSG00000070159; ENSG00000159251; ENSG00000111245; ENSG00000143632; ENSG00000162458; ENSG00000129170	804	803
1.6063074306e-13	2.71465955772e-11	GO:0070252	b	5	actin-mediated cell contraction	58; 70; 4624; 4625; 4633; 4634; 7134; 7138; 7273; 8557	ENSG00000105048; ENSG00000159251; ENSG00000197616; ENSG00000111245; ENSG00000143632; ENSG00000160808; ENSG00000155657; ENSG00000092054; ENSG00000114854; ENSG00000173991	62	62
2.31623147731e-13	5.79057869326e-11	GO:0003012	b	4	muscle system process	58; 70; 816; 1160; 1410; 4151; 4624; 4625; 4633; 4634; 7134; 7138; 7273; 8048; 8557; 26287; 29995	ENSG00000109846; ENSG00000165887; ENSG00000105048; ENSG00000159251; ENSG00000197616; ENSG00000198125; ENSG00000131730; ENSG00000173991; ENSG00000111245; ENSG00000143632; ENSG00000071282; ENSG00000160808; ENSG00000155657; ENSG00000092054; ENSG00000114854; ENSG00000129170; ENSG00000058404	353	352
2.43504567853e-12	1.61084646985e-10	GO:0055008	b	5	cardiac muscle tissue morphogenesis	70; 4624; 4625; 4633; 4634; 7134; 7273; 8557; 27063	ENSG00000159251; ENSG00000197616; ENSG00000111245; ENSG00000160808; ENSG00000155657; ENSG00000092054; ENSG00000114854; ENSG00000173991; ENSG00000148677	55	55
2.62157538709e-12	3.27696923386e-10	GO:0030048	b	4	actin filament-based movement	58; 70; 4624; 4625; 4633; 4634; 7134; 7138; 7273; 8557	ENSG00000105048; ENSG00000159251; ENSG00000197616; ENSG00000111245; ENSG00000143632; ENSG00000160808; ENSG00000155657; ENSG00000092054; ENSG00000114854; ENSG00000173991	81	81
2.85949077489e-12	1.61084646985e-10	GO:0006936	b	5	muscle contraction	58; 70; 1160; 1410; 4151; 4624; 4625; 4633; 4634; 7134; 7138; 7273; 8048; 8557; 26287	ENSG00000109846; ENSG00000165887; ENSG00000105048; ENSG00000159251; ENSG00000198125; ENSG00000197616; ENSG00000131730; ENSG00000173991; ENSG00000111245; ENSG00000143632; ENSG00000160808; ENSG00000155657; ENSG00000092054; ENSG00000114854; ENSG00000129170	293	292
1.18099906766e-11	9.84165889713e-10	GO:0060415	b	4	muscle tissue morphogenesis	70; 4624; 4625; 4633; 4634; 7134; 7273; 8557; 27063	ENSG00000159251; ENSG00000197616; ENSG00000111245; ENSG00000160808; ENSG00000155657; ENSG00000092054; ENSG00000114854; ENSG00000173991; ENSG00000148677	65	65
