p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.97110414727e-17	1.02497415658e-15	GO:0043230	c	2	extracellular organelle	2; 213; 217; 226; 259; 301; 302; 336; 345; 347; 348; 350; 388; 477; 718; 949; 1116; 445; 1401; 1508; 1509; 1528; 1674; 1892; 2243; 2244; 2266; 2335; 2597; 2875; 3106; 3240; 3320; 3418; 3855; 5004; 5730; 5919; 6342; 6480; 7033; 7170; 7184; 7273; 7314; 7431; 6035; 51181; 255743	ENSG00000163631; ENSG00000189058; ENSG00000171560; ENSG00000107317; ENSG00000175084; ENSG00000073060; ENSG00000166347; ENSG00000106538; ENSG00000127884; ENSG00000171564; ENSG00000130707; ENSG00000175899; ENSG00000170315; ENSG00000169738; ENSG00000143549; ENSG00000158874; ENSG00000110245; ENSG00000117984; ENSG00000129538; ENSG00000091583; ENSG00000166598; ENSG00000111275; ENSG00000073849; ENSG00000167701; ENSG00000133048; ENSG00000135046; ENSG00000116171; ENSG00000115414; ENSG00000234745; ENSG00000018625; ENSG00000130203; ENSG00000171557; ENSG00000026025; ENSG00000080824; ENSG00000111640; ENSG00000164733; ENSG00000125730; ENSG00000168743; ENSG00000160180; ENSG00000132693; ENSG00000182718; ENSG00000182054; ENSG00000106927; ENSG00000149925; ENSG00000229314; ENSG00000257017; ENSG00000135480; ENSG00000143878; ENSG00000155657	2792	2781
1.97110414727e-17	1.34035082014e-15	GO:1903561	c	3	extracellular vesicle	2; 213; 217; 226; 259; 301; 302; 336; 345; 347; 348; 350; 388; 477; 718; 949; 1116; 445; 1401; 1508; 1509; 1528; 1674; 1892; 2243; 2244; 2266; 2335; 2597; 2875; 3106; 3240; 3320; 3418; 3855; 5004; 5730; 5919; 6342; 6480; 7033; 7170; 7184; 7273; 7314; 7431; 6035; 51181; 255743	ENSG00000163631; ENSG00000189058; ENSG00000171560; ENSG00000107317; ENSG00000175084; ENSG00000073060; ENSG00000166347; ENSG00000106538; ENSG00000127884; ENSG00000171564; ENSG00000130707; ENSG00000175899; ENSG00000170315; ENSG00000169738; ENSG00000143549; ENSG00000158874; ENSG00000110245; ENSG00000117984; ENSG00000129538; ENSG00000091583; ENSG00000166598; ENSG00000111275; ENSG00000073849; ENSG00000167701; ENSG00000133048; ENSG00000135046; ENSG00000116171; ENSG00000115414; ENSG00000234745; ENSG00000018625; ENSG00000130203; ENSG00000171557; ENSG00000026025; ENSG00000080824; ENSG00000111640; ENSG00000164733; ENSG00000125730; ENSG00000168743; ENSG00000160180; ENSG00000132693; ENSG00000182718; ENSG00000182054; ENSG00000106927; ENSG00000149925; ENSG00000229314; ENSG00000257017; ENSG00000135480; ENSG00000143878; ENSG00000155657	2792	2781
1.03070891757e-16	3.50441031973e-15	GO:0065010	c	3	extracellular membrane-bounded organelle	2; 213; 217; 226; 259; 301; 302; 336; 345; 347; 348; 350; 388; 718; 949; 1116; 445; 1401; 1508; 1509; 1528; 1674; 1892; 2243; 2244; 2266; 2335; 2597; 2875; 3106; 3240; 3320; 3418; 3855; 5004; 5730; 5919; 6342; 6480; 7033; 7170; 7184; 7273; 7314; 7431; 6035; 51181; 255743	ENSG00000163631; ENSG00000189058; ENSG00000171560; ENSG00000107317; ENSG00000175084; ENSG00000073060; ENSG00000166347; ENSG00000106538; ENSG00000127884; ENSG00000171564; ENSG00000130707; ENSG00000175899; ENSG00000170315; ENSG00000169738; ENSG00000143549; ENSG00000158874; ENSG00000110245; ENSG00000117984; ENSG00000129538; ENSG00000091583; ENSG00000166598; ENSG00000111275; ENSG00000073849; ENSG00000167701; ENSG00000133048; ENSG00000135046; ENSG00000116171; ENSG00000115414; ENSG00000234745; ENSG00000130203; ENSG00000171557; ENSG00000026025; ENSG00000080824; ENSG00000111640; ENSG00000164733; ENSG00000125730; ENSG00000168743; ENSG00000160180; ENSG00000132693; ENSG00000182718; ENSG00000182054; ENSG00000106927; ENSG00000149925; ENSG00000229314; ENSG00000257017; ENSG00000135480; ENSG00000143878; ENSG00000155657	2779	2768
1.03070891757e-16	5.97811172189e-15	GO:0070062	c	4	extracellular exosome	2; 213; 217; 226; 259; 301; 302; 336; 345; 347; 348; 350; 388; 718; 949; 1116; 445; 1401; 1508; 1509; 1528; 1674; 1892; 2243; 2244; 2266; 2335; 2597; 2875; 3106; 3240; 3320; 3418; 3855; 5004; 5730; 5919; 6342; 6480; 7033; 7170; 7184; 7273; 7314; 7431; 6035; 51181; 255743	ENSG00000163631; ENSG00000189058; ENSG00000171560; ENSG00000107317; ENSG00000175084; ENSG00000073060; ENSG00000166347; ENSG00000106538; ENSG00000127884; ENSG00000171564; ENSG00000130707; ENSG00000175899; ENSG00000170315; ENSG00000169738; ENSG00000143549; ENSG00000158874; ENSG00000110245; ENSG00000117984; ENSG00000129538; ENSG00000091583; ENSG00000166598; ENSG00000111275; ENSG00000073849; ENSG00000167701; ENSG00000133048; ENSG00000135046; ENSG00000116171; ENSG00000115414; ENSG00000234745; ENSG00000130203; ENSG00000171557; ENSG00000026025; ENSG00000080824; ENSG00000111640; ENSG00000164733; ENSG00000125730; ENSG00000168743; ENSG00000160180; ENSG00000132693; ENSG00000182718; ENSG00000182054; ENSG00000106927; ENSG00000149925; ENSG00000229314; ENSG00000257017; ENSG00000135480; ENSG00000143878; ENSG00000155657	2779	2768
3.5385077499e-14	9.20012014974e-13	GO:0031982	c	2	vesicle	2; 213; 217; 226; 259; 301; 302; 336; 345; 347; 348; 350; 388; 477; 488; 718; 949; 1116; 445; 1401; 1508; 1509; 1528; 1674; 1892; 2243; 2244; 2266; 2335; 2597; 2875; 3106; 3240; 3320; 3418; 3855; 5004; 5730; 5919; 6342; 6480; 7033; 7170; 7184; 7273; 7314; 7431; 10133; 6035; 51181; 255743	ENSG00000163631; ENSG00000189058; ENSG00000171560; ENSG00000107317; ENSG00000175084; ENSG00000073060; ENSG00000166347; ENSG00000106538; ENSG00000127884; ENSG00000171564; ENSG00000130707; ENSG00000175899; ENSG00000170315; ENSG00000169738; ENSG00000143549; ENSG00000158874; ENSG00000110245; ENSG00000117984; ENSG00000129538; ENSG00000091583; ENSG00000166598; ENSG00000111275; ENSG00000073849; ENSG00000167701; ENSG00000133048; ENSG00000135046; ENSG00000116171; ENSG00000115414; ENSG00000234745; ENSG00000174437; ENSG00000018625; ENSG00000130203; ENSG00000171557; ENSG00000026025; ENSG00000080824; ENSG00000111640; ENSG00000164733; ENSG00000125730; ENSG00000168743; ENSG00000160180; ENSG00000132693; ENSG00000182718; ENSG00000182054; ENSG00000106927; ENSG00000149925; ENSG00000229314; ENSG00000257017; ENSG00000123240; ENSG00000135480; ENSG00000143878; ENSG00000155657	3633	3619
4.63972099631e-14	1.0516700925e-12	GO:0031988	c	3	membrane-bounded vesicle	2; 213; 217; 226; 259; 301; 302; 336; 345; 347; 348; 350; 388; 488; 718; 949; 1116; 445; 1401; 1508; 1509; 1528; 1674; 1892; 2243; 2244; 2266; 2335; 2597; 2875; 3106; 3240; 3320; 3418; 3855; 5004; 5730; 5919; 6342; 6480; 7033; 7170; 7184; 7273; 7314; 7431; 10133; 6035; 51181; 255743	ENSG00000163631; ENSG00000189058; ENSG00000171560; ENSG00000107317; ENSG00000175084; ENSG00000073060; ENSG00000166347; ENSG00000106538; ENSG00000127884; ENSG00000171564; ENSG00000130707; ENSG00000175899; ENSG00000170315; ENSG00000169738; ENSG00000143549; ENSG00000158874; ENSG00000110245; ENSG00000117984; ENSG00000129538; ENSG00000091583; ENSG00000166598; ENSG00000111275; ENSG00000073849; ENSG00000167701; ENSG00000133048; ENSG00000135046; ENSG00000116171; ENSG00000115414; ENSG00000234745; ENSG00000174437; ENSG00000130203; ENSG00000171557; ENSG00000026025; ENSG00000080824; ENSG00000111640; ENSG00000164733; ENSG00000125730; ENSG00000168743; ENSG00000160180; ENSG00000132693; ENSG00000182718; ENSG00000182054; ENSG00000106927; ENSG00000149925; ENSG00000229314; ENSG00000257017; ENSG00000123240; ENSG00000135480; ENSG00000143878; ENSG00000155657	3514	3501
2.43783681261e-13	7.06972675657e-12	GO:0060205	c	4	cytoplasmic membrane-bounded vesicle lumen	2; 213; 226; 348; 2243; 2244; 2266; 2335; 3240; 3320; 7184	ENSG00000163631; ENSG00000115414; ENSG00000171564; ENSG00000171560; ENSG00000130203; ENSG00000171557; ENSG00000080824; ENSG00000166598; ENSG00000149925; ENSG00000175899; ENSG00000257017	81	81
2.8041192838e-13	4.76700278245e-12	GO:0031983	c	3	vesicle lumen	2; 213; 226; 348; 2243; 2244; 2266; 2335; 3240; 3320; 7184	ENSG00000163631; ENSG00000115414; ENSG00000171564; ENSG00000171560; ENSG00000130203; ENSG00000171557; ENSG00000080824; ENSG00000166598; ENSG00000149925; ENSG00000175899; ENSG00000257017	82	82
4.46969312706e-13	2.86060360132e-11	GO:0044710	b	2	single-organism metabolic process	2; 213; 217; 226; 259; 291; 301; 302; 336; 345; 347; 348; 350; 477; 718; 123; 949; 1116; 1158; 445; 1384; 1508; 1509; 1528; 1577; 1593; 1892; 1917; 2180; 2243; 2244; 2266; 2335; 2597; 2746; 2766; 2875; 3240; 3320; 3418; 4878; 5507; 5730; 5919; 6342; 6480; 7033; 7173; 7184; 7314; 7849; 8736; 9388; 10133; 51181; 122622; 255743; 27124; 29842; 65018	ENSG00000163631; ENSG00000189058; ENSG00000171560; ENSG00000107317; ENSG00000073060; ENSG00000166347; ENSG00000106538; ENSG00000127884; ENSG00000171564; ENSG00000164733; ENSG00000175899; ENSG00000170315; ENSG00000119938; ENSG00000169738; ENSG00000101210; ENSG00000158874; ENSG00000110245; ENSG00000117984; ENSG00000091583; ENSG00000166598; ENSG00000151729; ENSG00000151726; ENSG00000111275; ENSG00000073849; ENSG00000185133; ENSG00000167701; ENSG00000133048; ENSG00000101670; ENSG00000106258; ENSG00000135046; ENSG00000116171; ENSG00000115414; ENSG00000158828; ENSG00000137198; ENSG00000018625; ENSG00000130203; ENSG00000171557; ENSG00000115705; ENSG00000080824; ENSG00000175206; ENSG00000111640; ENSG00000095321; ENSG00000125618; ENSG00000147872; ENSG00000130707; ENSG00000125730; ENSG00000148672; ENSG00000104879; ENSG00000168743; ENSG00000160180; ENSG00000182718; ENSG00000182054; ENSG00000106927; ENSG00000149925; ENSG00000257017; ENSG00000185100; ENSG00000135929; ENSG00000123240; ENSG00000101605; ENSG00000115112	5298	5277
3.03521637947e-12	5.26104172441e-11	GO:0072562	c	2	blood microparticle	2; 213; 259; 336; 348; 718; 2243; 2244; 2266; 2335; 3240; 5004	ENSG00000163631; ENSG00000115414; ENSG00000171564; ENSG00000229314; ENSG00000171560; ENSG00000130203; ENSG00000171557; ENSG00000106927; ENSG00000175899; ENSG00000257017; ENSG00000125730; ENSG00000158874	135	134
