p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
8.48072959753e-06	0.0027562371192	GO:0003014	b	4	renal system process	111; 134; 183; 652; 1910; 3778	ENSG00000136160; ENSG00000173175; ENSG00000156113; ENSG00000135744; ENSG00000125378; ENSG00000163485	110	110
3.8869835997e-05	0.00631634834951	GO:0007399	b	4	nervous system development	134; 183; 652; 999; 1910; 2051; 3400; 3778; 3815; 5310; 6712; 8326; 8997; 9289; 140733; 9771; 10752; 51704; 153090; 23705; 57118; 28514; 65009	ENSG00000136160; ENSG00000106123; ENSG00000172264; ENSG00000134121; ENSG00000188763; ENSG00000008710; ENSG00000160145; ENSG00000205336; ENSG00000173898; ENSG00000136848; ENSG00000167191; ENSG00000039068; ENSG00000125378; ENSG00000163485; ENSG00000182985; ENSG00000198719; ENSG00000156113; ENSG00000183049; ENSG00000157404; ENSG00000135744; ENSG00000103034; ENSG00000172201; ENSG00000136237	2190	2185
4.13915367865e-05	0.00126479783432	GO:0044459	c	2	plasma membrane part	134; 770; 999; 1910; 2051; 3778; 3815; 4355; 5239; 5310; 6712; 7053; 7108; 8326; 9289; 50649; 93664; 153090; 23555; 23705; 58494; 93145; 28514; 160622; 65009	ENSG00000099282; ENSG00000136002; ENSG00000136160; ENSG00000106123; ENSG00000188763; ENSG00000008710; ENSG00000081803; ENSG00000205336; ENSG00000173898; ENSG00000125780; ENSG00000136848; ENSG00000039068; ENSG00000063180; ENSG00000163485; ENSG00000108852; ENSG00000182985; ENSG00000198719; ENSG00000161835; ENSG00000156113; ENSG00000157404; ENSG00000154721; ENSG00000154330; ENSG00000149809; ENSG00000105088; ENSG00000103034	2528	2513
6.02284683009e-05	0.00126479783432	GO:0098589	c	2	membrane region	134; 770; 999; 1910; 3778; 5310; 6712; 8326; 9026; 50649; 93664; 23705; 93145; 160622; 65009	ENSG00000136002; ENSG00000136160; ENSG00000188763; ENSG00000105088; ENSG00000173898; ENSG00000156113; ENSG00000039068; ENSG00000161835; ENSG00000008710; ENSG00000130787; ENSG00000063180; ENSG00000103034; ENSG00000163485; ENSG00000081803; ENSG00000182985	1086	1084
6.03654225765e-05	0.00902444829487	GO:0022008	b	5	neurogenesis	183; 652; 999; 1910; 2051; 3400; 3778; 3815; 6712; 8326; 8997; 9289; 10752; 51704; 153090; 57118; 28514; 65009	ENSG00000157404; ENSG00000183049; ENSG00000136160; ENSG00000188763; ENSG00000198719; ENSG00000106123; ENSG00000173898; ENSG00000136848; ENSG00000205336; ENSG00000134121; ENSG00000156113; ENSG00000039068; ENSG00000135744; ENSG00000160145; ENSG00000125378; ENSG00000103034; ENSG00000172201; ENSG00000167191	1494	1493
6.22022871007e-05	0.00673858110257	GO:0061326	b	4	renal tubule development	183; 652; 3911; 5310; 28514	ENSG00000198719; ENSG00000135744; ENSG00000130702; ENSG00000008710; ENSG00000125378	96	96
7.36593672908e-05	0.0138963273306	GO:0048731	b	3	system development	134; 183; 467; 652; 999; 1910; 2051; 2628; 3400; 3778; 3815; 3860; 3911; 5310; 6707; 6712; 7053; 7163; 80139; 8326; 8997; 140733; 9771; 10752; 9289; 84293; 51704; 150094; 153090; 23705; 57118; 57496; 28514; 65009	ENSG00000136160; ENSG00000125780; ENSG00000171401; ENSG00000163209; ENSG00000186260; ENSG00000130702; ENSG00000188763; ENSG00000008710; ENSG00000160145; ENSG00000205336; ENSG00000173898; ENSG00000106123; ENSG00000134121; ENSG00000183049; ENSG00000039068; ENSG00000172264; ENSG00000125378; ENSG00000163485; ENSG00000136848; ENSG00000182985; ENSG00000171766; ENSG00000162772; ENSG00000198719; ENSG00000076554; ENSG00000156113; ENSG00000122378; ENSG00000183779; ENSG00000167191; ENSG00000157404; ENSG00000142178; ENSG00000135744; ENSG00000103034; ENSG00000172201; ENSG00000136237	4205	4193
0.000102032539185	0.00829014380876	GO:0012501	b	4	programmed cell death	134; 183; 467; 652; 999; 1910; 3778; 3815; 5178; 8997; 9026; 10752; 50649; 150094; 153090; 23705; 57118; 255027; 27165; 158471	ENSG00000156968; ENSG00000157404; ENSG00000136002; ENSG00000136160; ENSG00000142178; ENSG00000162772; ENSG00000198300; ENSG00000106772; ENSG00000136848; ENSG00000134121; ENSG00000156113; ENSG00000039068; ENSG00000130787; ENSG00000135744; ENSG00000160145; ENSG00000125378; ENSG00000135423; ENSG00000163485; ENSG00000183049; ENSG00000182985	1866	1853
0.000115698055062	0.00902444829487	GO:0035812	b	5	renal sodium excretion	134; 183; 1910	ENSG00000135744; ENSG00000163485; ENSG00000136160	22	22
0.000115698055062	0.00902444829487	GO:0035813	b	5	regulation of renal sodium excretion	134; 183; 1910	ENSG00000135744; ENSG00000163485; ENSG00000136160	22	22
